행정동_코드_명,주요_상권유형,점포_수,총_유동인구_수,점포당_유동인구,당월_매출_금액,잔차율,추천점수,유동인구(만),점포당유동(만),매출(억)
북아현동,골목상권,0,22328990,22328990.0,1213468572.0,-61.825490400684416,21.0,2232.899,2232.899,12.13468572
대조동,골목상권,7,12550609,1792944.142857143,1889768851.0,-54.516528142138235,55.5,1255.0609,179.29441428571428,18.89768851
장위3동,전통시장,2,4000943,2000471.5,222381.0,-99.98738806163809,61.5,400.0943,200.04715,0.00222381
화곡8동,골목상권,6,9879214,1646535.6666666667,1040473839.0,-68.07307518064047,63.5,987.9214,164.65356666666668,10.40473839
공덕동,골목상권,9,12192896,1354766.2222222222,1137353121.0,-76.72562064870962,67.5,1219.2896,135.47662222222223,11.37353121
삼양동,골목상권,0,10865484,10865484.0,354270700.0,-66.16843707618607,71.0,1086.5484,1086.5484,3.542707
중화2동,골목상권,3,7791929,2597309.6666666665,724182318.0,-56.719388509010486,71.5,779.1929,259.73096666666663,7.24182318
길음1동,골목상권,3,6156653,2052217.6666666667,172511735.0,-87.40012674358097,74.0,615.6653,205.22176666666667,1.72511735
송천동,골목상권,7,10161334,1451619.142857143,1621535453.0,-56.29960588925993,77.5,1016.1334,145.1619142857143,16.21535453
월곡1동,골목상권,3,8029834,2676611.3333333335,959802786.0,-44.115079648344576,81.5,802.9834,267.66113333333334,9.59802786
상계3·4동,골목상권,5,8200705,1640141.0,998662997.0,-60.800163198165514,83.0,820.0705,164.0141,9.98662997
황학동,전통시장,1,5612706,5612706.0,1260320265.0,-24.24888192002246,86.0,561.2706,561.2706,12.60320265
길동,골목상권,12,18306303,1525525.25,5678731091.0,-21.358663935832904,91.0,1830.6303,152.552525,56.78731091
정릉2동,골목상권,3,5562389,1854129.6666666667,337748757.0,-73.16588137484496,91.5,556.2389,185.41296666666668,3.37748757
천호1동,골목상권,3,10199559,3399853.0,1657550011.0,-21.84730476450255,92.0,1019.9559,339.9853,16.57550011
