group1,group2,meandiff,p-adj,lower,upper,reject
골목상권,관광특구,5770113096.9766,0.0,4898201597.7818,6642024596.1714,True
골목상권,미분류,-1163054251.8185,0.0,-1622886346.9799,-703222156.6571,True
골목상권,발달상권,3771815956.391,0.0,3284751487.4569,4258880425.3252,True
골목상권,전통시장,361650232.9457,0.3799,-189877904.3034,913178370.1948,False
관광특구,미분류,-6933167348.7951,0.0,-7905533282.5424,-5960801415.0477,True
관광특구,발달상권,-1998297140.5856,0.0,-2983833416.0569,-1012760865.1142,True
관광특구,전통시장,-5408462864.0309,0.0,-6427400172.9706,-4389525555.0911,True
미분류,발달상권,4934870208.2095,0.0,4284872020.841,5584868395.5781,True
미분류,전통시장,1524704484.7642,0.0,825098071.9422,2224310897.5863,True
발달상권,전통시장,-3410165723.4453,0.0,-4127964702.2823,-2692366744.6084,True
