lag,correlation,p_value,significant
-6,-0.1995438689542685,0.2904276006722631,
-5,-0.13081379378785613,0.4830328658163021,
-4,-0.13353390096185436,0.46624575355436504,
-3,-0.12690995007050526,0.48156656464077124,
-2,-0.1667682619452288,0.3458501368987088,
-1,-0.10892632418256307,0.5333692441904239,
0,0.006605552354133869,0.9695003595136313,
1,0.042466414336543884,0.8086099549133463,
2,0.07014939077571561,0.6934154955682821,
3,0.053920813129719844,0.7656842222284808,
4,-0.03635302906288518,0.8434150547204137,
5,0.007327525499687404,0.9687932675589463,
6,0.3211798238112259,0.08352089953113502,
