year_month,avg_sentiment,sentiment_std,news_count,positive_count,negative_count,positive_ratio,date
2023-01,-0.008333333333333345,0.7358039191302309,16,20,23,37.5,2023-01-01
2023-02,0.07111111111111111,0.7743780573217295,15,28,19,46.666666666666664,2023-02-01
2023-03,0.2962962962962963,0.74875835250299,18,15,6,50.0,2023-03-01
2023-04,0.6266666666666667,0.7105553383719587,10,15,4,80.0,2023-04-01
2023-05,0.4583333333333333,0.46929531772445293,8,9,3,62.5,2023-05-01
2023-06,0.4,0.6992058987801011,10,13,1,50.0,2023-06-01
2023-07,0.4270833333333333,0.6803287603961942,16,20,10,62.5,2023-07-01
2023-08,0.1,0.7378647873726218,10,4,5,30.0,2023-08-01
2023-09,0.8333333333333334,0.3892494720807615,12,22,1,83.33333333333334,2023-09-01
2023-10,0.7333333333333333,0.43588989435406733,9,13,1,77.77777777777779,2023-10-01
2023-11,0.26666666666666666,0.6607581306268901,18,30,24,44.44444444444444,2023-11-01
2023-12,0.11333333333333333,0.7470435556740143,10,12,7,40.0,2023-12-01
2024-01,0.05333333333333332,0.9734246532503457,5,12,8,60.0,2024-01-01
2024-02,0.8333333333333334,0.3892494720807615,12,28,2,83.33333333333334,2024-02-01
2024-03,0.2727272727272727,0.6466697906828632,11,5,1,36.36363636363637,2024-03-01
2024-04,0.6666666666666666,0.48795003647426666,15,21,0,66.66666666666666,2024-04-01
2024-05,0.2631578947368421,0.8056815791722831,19,14,5,47.368421052631575,2024-05-01
2024-06,0.5833333333333334,0.6685579234215215,12,13,2,66.66666666666666,2024-06-01
2024-07,0.6201298701298701,0.5694636129127686,22,32,5,72.72727272727273,2024-07-01
2024-08,0.7698412698412699,0.38900225105100783,21,47,5,85.71428571428571,2024-08-01
2024-09,0.3266666666666667,0.8867812314099528,15,17,12,60.0,2024-09-01
2024-10,0.5294117647058824,0.6242642728467978,17,25,5,58.82352941176471,2024-10-01
2024-11,0.35416666666666663,0.6064926490348695,16,20,13,62.5,2024-11-01
2024-12,0.5185185185185186,0.5800170282728083,9,16,4,55.55555555555556,2024-12-01
2025-01,0.16333333333333333,0.5380463057772015,10,18,12,40.0,2025-01-01
2025-02,0.7904761904761904,0.3457751286030265,14,30,6,100.0,2025-02-01
2025-03,0.2948717948717949,0.7561711921217785,26,22,15,53.84615384615385,2025-03-01
2025-04,0.38461538461538464,0.9607689228305227,13,14,4,69.23076923076923,2025-04-01
2025-05,0.6666666666666666,0.5773502691896258,3,3,0,66.66666666666666,2025-05-01
2025-06,0.5714285714285714,0.7867957924694432,7,7,2,71.42857142857143,2025-06-01
2025-07,-0.38888888888888884,0.8004628290812389,6,4,9,16.666666666666664,2025-07-01
2025-08,0.11111111111111112,0.769800358919501,3,4,4,33.33333333333333,2025-08-01
2025-09,0.7142857142857143,0.4879500364742666,7,12,0,71.42857142857143,2025-09-01
2025-10,0.18571428571428572,0.7128079952520441,7,11,7,42.857142857142854,2025-10-01
2025-11,0.54375,0.5513241635674364,16,26,9,62.5,2025-11-01
2025-12,0.14285714285714285,0.8997354108424372,7,9,7,42.857142857142854,2025-12-01
