기준_년분기_코드,행정동_코드,행정동_명,편의점_점포수,_yyqu_int
20253,11680640,역삼1동,42,20253
20253,11440660,서교동,41,20253
20253,11560540,여의동,38,20253
20253,11140550,명동,29,20253
20253,11110615,종로1·2·3·4가동,25,20253
20253,11545510,가산동,25,20253
20253,11710642,문정2동,24,20253
20253,11215710,화양동,22,20253
20253,11680630,대치4동,22,20253
20253,11140540,회현동,21,20253
20253,11650530,서초3동,21,20253
20253,11680521,논현1동,19,20253
20253,11470650,신정4동,17,20253
20253,11410585,신촌동,17,20253
20253,11500603,가양1동,17,20253
20253,11680580,삼성1동,17,20253
20253,11230536,용신동,16,20253
20253,11680531,논현2동,16,20253
20253,11680590,삼성2동,16,20253
