dessert,store_intent_ratio,price_intent_ratio
달고나커피,0.30589880389371654,0.01236131552576523
크로플,1.810011846702133,0.11144853326093238
수제도넛,1.6018549758770793,0.005818148061755104
바스크치즈케이크,0.5852324393183915,0.07406296065353198
르뱅쿠키,0.06370786359165362,0.007964818686568016
소금빵,0.47845304429929814,0.027135079446332807
버터바,0.09538849998730899,0.006219519699202735
약과,0.19095287618745094,0.001766146915535586
휘낭시에,0.37617176380768397,0.06324945924837935
카눌레,0.002185516171519105,
탕후루,0.16369938656131866,0.07771564345786337
그릭요거트,0.14405557787828452,0.008408265029742141
두바이초콜릿,0.42328927882424344,0.0897056331965073
망고사고,0.46094899285330904,0.00495174648373797
요거트아이스크림,0.10291448701529209,0.2604865815449672
크루키,1.1794355031993553,0.18490988225684
아사이볼,0.03360909560829254,0.0006237967004987267
