dessert,peak_date,peak_ratio,current_ratio,half_life_months,bsr,duration_above_20,category,year_peak
달고나커피,2020-03-01,100.0,0.06928,2.0,,2,음료,2020
크로플,2020-08-01,13.54313,0.21481,10.0,1.1843577983655476,0,베이커리,2020
수제도넛,2022-12-01,2.57241,0.54101,35.0,0.8065636836493972,0,도넛,2021
바스크치즈케이크,2020-12-01,3.47416,0.89293,16.0,0.8081386606928088,0,케이크,2021
르뱅쿠키,2022-03-01,13.60264,2.21885,20.0,0.7384564970117319,0,쿠키,2022
소금빵,2022-07-01,42.78398,7.28649,10.0,0.6017396345374163,21,베이커리,2022
버터바,2022-10-01,13.05224,1.2708,14.0,0.7918975597272688,0,케이크,2022
약과,2023-04-01,100.0,4.10528,3.0,0.5510879057031006,31,전통/퓨전,2022
휘낭시에,2022-03-01,13.91786,3.05214,39.0,0.9232967183944237,0,구움과자,2022
카눌레,2022-01-01,12.37198,1.11159,1.0,0.7884860423848723,0,구움과자,2023
탕후루,2023-08-01,100.0,1.53281,3.0,0.6437480277034121,10,과일디저트,2023
그릭요거트,2021-08-01,64.69734,7.29565,2.0,0.6259785222958887,36,건강,2024
두바이초콜릿,2026-01-01,100.0,100.0,,,7,초콜릿,2024
망고사고,2024-07-01,5.47281,0.75019,2.0,0.37173694508111516,0,푸딩,2024
요거트아이스크림,2024-08-01,73.65192,2.52254,2.0,0.955741370865036,5,아이스크림,2024
크루키,2024-04-01,4.72204,0.03534,2.0,1592.955789473684,0,베이커리,2024
아사이볼,2025-05-01,73.82849,11.00098,6.0,0.9118887043693622,24,건강,2024
