디저트,카테고리,피크년도,피크일자,피크값,현재값,반감기(월),BSR,지속기간(월)
달고나커피,음료,2020,2020-03-01,100.0,0.07,2.0,,2
크로플,베이커리,2020,2020-08-01,13.54,0.21,10.0,1.18,0
수제도넛,도넛,2021,2022-12-01,2.57,0.54,35.0,0.81,0
바스크치즈케이크,케이크,2021,2020-12-01,3.47,0.89,16.0,0.81,0
르뱅쿠키,쿠키,2022,2022-03-01,13.6,2.22,20.0,0.74,0
소금빵,베이커리,2022,2022-07-01,42.78,7.29,10.0,0.6,21
버터바,케이크,2022,2022-10-01,13.05,1.27,14.0,0.79,0
약과,전통퓨전,2022,2023-04-01,100.0,4.11,3.0,0.55,31
휘낭시에,구움과자,2022,2022-03-01,13.92,3.05,39.0,0.92,0
카눌레,구움과자,2023,2022-01-01,12.37,1.11,1.0,0.79,0
탕후루,과일디저트,2023,2023-08-01,100.0,1.53,3.0,0.64,10
그릭요거트,건강,2024,2021-08-01,64.7,7.3,2.0,0.63,36
두바이초콜릿,초콜릿,2024,2026-01-01,100.0,100.0,,,7
망고사고,푸딩,2024,2024-07-01,5.47,0.75,2.0,0.37,0
요거트아이스크림,아이스크림,2024,2024-08-01,73.65,2.52,2.0,0.96,5
크루키,베이커리,2024,2024-04-01,4.72,0.04,2.0,1592.96,0
아사이볼,건강,2024,2025-05-01,73.83,11.0,6.0,0.91,24
