기준_년분기_코드,상권구분_코드,상권구분_명,총_매출_금액,총_매출_건수,평균_매출_금액,상권_수,주중_매출_금액,주말_매출_금액,건당_매출_금액
20221,A,골목상권,253583145621.0,34816879.0,573717524.0294118,442,181371726604.0,72211419017.0,7283.0
20221,D,발달상권,464116020518.0,64510470.0,2071946520.169643,224,350616075068.0,113499945450.0,7194.0
20221,R,전통시장,26203303128.0,3507393.0,524066062.56,50,18452940102.0,7750363026.0,7471.0
20221,U,관광특구,33993213052.0,4314094.0,5665535508.666667,6,24718070705.0,9275142347.0,7880.0
20222,A,골목상권,270064777125.0,40545089.0,606887139.6067415,445,192110437533.0,77954339592.0,6661.0
20222,D,발달상권,529518545893.0,79633339.0,2363922079.879464,224,397623547348.0,131894998545.0,6649.0
20222,R,전통시장,29263749887.0,4241455.0,573799017.3921568,51,20246382971.0,9017366916.0,6899.0
20222,U,관광특구,44223684255.0,6352060.0,7370614042.5,6,31300281419.0,12923402836.0,6962.0
20223,A,골목상권,283205310770.0,41647888.0,630746794.5879732,449,202871742949.0,80333567821.0,6800.0
20223,D,발달상권,555150202210.0,83009292.0,2467334232.0444446,225,420494470581.0,134655731629.0,6688.0
20223,R,전통시장,31923597139.0,4568187.0,591177724.7962962,54,22358117170.0,9565479969.0,6988.0
20223,U,관광특구,48756460319.0,7135363.0,8126076719.833333,6,35240532862.0,13515927457.0,6833.0
20224,A,골목상권,270157355675.0,38791841.0,588578116.9389979,459,190125608886.0,80031746789.0,6964.0
20224,D,발달상권,534040648075.0,77314024.0,2363011717.1460176,226,398570660839.0,135469987236.0,6907.0
20224,R,전통시장,30278099990.0,4236131.0,550510908.9090909,55,20862902937.0,9415197053.0,7148.0
20224,U,관광특구,43347911847.0,6196270.0,7224651974.5,6,31205152717.0,12142759130.0,6996.0
20231,A,골목상권,251893735623.0,35659544.0,552398543.0328947,456,182464263423.0,69429472200.0,7064.0
20231,D,발달상권,508280272117.0,72730407.0,2269108357.665179,224,389913184806.0,118367087311.0,6989.0
20231,R,전통시장,27908654363.0,3839563.0,516826932.6481481,54,20046636613.0,7862017750.0,7269.0
20231,U,관광특구,45184373578.0,6371950.0,7530728929.666667,6,33847831334.0,11336542244.0,7091.0
20232,A,골목상권,271411337714.0,40405399.0,600467561.3141593,452,194653224484.0,76758113230.0,6717.0
20232,D,발달상권,544715990640.0,80323876.0,2442672603.766816,223,413020767980.0,131695222660.0,6781.0
20232,R,전통시장,28866723499.0,4147661.0,555129298.0576923,52,20373799750.0,8492923749.0,6960.0
20232,U,관광특구,45787406541.0,6737347.0,7631234423.5,6,34217603903.0,11569802638.0,6796.0
20233,A,골목상권,279814070333.0,40941916.0,616330551.3942732,454,198091868781.0,81722201552.0,6834.0
20233,D,발달상권,556127131622.0,81943618.0,2493843639.5605383,223,416935362126.0,139191769496.0,6787.0
20233,R,전통시장,29538106807.0,4270856.0,557322769.9433962,53,20499616501.0,9038490306.0,6916.0
20233,U,관광특구,47346770208.0,6972829.0,7891128368.0,6,35018160375.0,12328609833.0,6790.0
20234,A,골목상권,260033631013.0,37373070.0,567759019.6790394,458,183464477400.0,76569153613.0,6958.0
20234,D,발달상권,529803935733.0,75899061.0,2365196141.665179,224,395002500461.0,134801435272.0,6980.0
20234,R,전통시장,26589914283.0,3747618.0,521370868.2941176,51,18411617924.0,8178296359.0,7095.0
20234,U,관광특구,51832757551.0,7253128.0,8638792925.166666,6,37770165544.0,14062592007.0,7146.0
20241,A,골목상권,239612225468.0,33696930.0,533657517.74610245,449,171094073176.0,68518152292.0,7111.0
20241,D,발달상권,502725321621.0,70469849.0,2244309471.522321,224,379872856095.0,122852465526.0,7134.0
20241,R,전통시장,24668322647.0,3468365.0,483692600.92156863,51,17319147076.0,7349175571.0,7112.0
20241,U,관광특구,48604559424.0,6671527.0,8100759904.0,6,35792067489.0,12812491935.0,7285.0
20242,A,골목상권,258669600062.0,38158136.0,585225339.5067873,442,185148090529.0,73521509533.0,6779.0
20242,D,발달상권,531061698688.0,77962126.0,2392169813.9099097,222,400283240658.0,130778458030.0,6812.0
20242,R,전통시장,25716249909.0,3846001.0,514324998.18,50,18247748737.0,7468501172.0,6686.0
20242,U,관광특구,50983799223.0,7455377.0,8497299870.5,6,37572046413.0,13411752810.0,6839.0
20243,A,골목상권,258621403709.0,37399354.0,600049660.5777262,431,186100559274.0,72520844435.0,6915.0
20243,D,발달상권,544931819955.0,79551023.0,2454647837.635135,222,412289720929.0,132642099026.0,6850.0
20243,R,전통시장,25809777790.0,3830186.0,526730158.97959185,49,18313746325.0,7496031465.0,6739.0
20243,U,관광특구,53975216263.0,7600016.0,8995869377.166666,6,39936691877.0,14038524386.0,7102.0
20244,A,골목상권,244108811732.0,34929706.0,574373674.6635294,425,174896653787.0,69212157945.0,6989.0
20244,D,발달상권,518227362830.0,73893053.0,2344920193.8009048,221,389753866971.0,128473495859.0,7013.0
20244,R,전통시장,24972705137.0,3540871.0,509647043.6122449,49,17734034709.0,7238670428.0,7053.0
20244,U,관광특구,51591393664.0,7130682.0,8598565610.666666,6,38110192683.0,13481200981.0,7235.0
20251,A,골목상권,221566920042.0,30395506.0,526287221.0023753,421,157127377785.0,64439542257.0,7289.0
20251,D,발달상권,466901653356.0,64668444.0,2112677164.5067873,221,348383711610.0,118517941746.0,7220.0
20251,R,전통시장,23003235689.0,3145918.0,479234076.8541667,48,16186775766.0,6816459923.0,7312.0
20251,U,관광특구,47440741557.0,6224690.0,7906790259.5,6,34343788729.0,13096952828.0,7621.0
20252,A,골목상권,237538468476.0,34087118.0,576549680.7669903,412,170233773597.0,67304694879.0,6969.0
20252,D,발달상권,507186862135.0,72496536.0,2305394827.8863635,220,381742947342.0,125443914793.0,6996.0
20252,R,전통시장,24856561088.0,3572463.0,528863001.87234044,47,17565991282.0,7290569806.0,6958.0
20252,U,관광특구,52133901064.0,7046861.0,8688983510.666666,6,38233768691.0,13900132373.0,7398.0
20253,A,골목상권,246242345072.0,34814177.0,606508239.0935961,406,177185523944.0,69056821128.0,7073.0
20253,D,발달상권,537168290337.0,76722312.0,2419676983.5,222,406511679582.0,130656610755.0,7001.0
20253,R,전통시장,25170422689.0,3608770.0,572055061.1136364,44,17887716835.0,7282705854.0,6975.0
20253,U,관광특구,56072683079.0,7583750.0,9345447179.833334,6,41463491531.0,14609191548.0,7394.0
